word	pos_tag	ner
इश्वी	Unk	O
संवत्	Unk	O
१८	CD	O
सय	CD	O
को	PKO	O
अन्त्य	NN	O
तिर	POP	O
संसार	NN	O
मा	POP	O
दुई	CD	O
सिद्धान्त	NN	O
प्रारम्भ	NN	O
भयो	VBX	O
।	YF	O
एउटा	CL	O
साम्यवाद	Unk	O
जस	CS	O
को	PKO	O
उद्देश्य	NN	O
थियो–	Unk	O
सुकुम	Unk	O
वासी	Unk	O
लाइ	Unk	O
छाना	Unk	O
,	YM	O
नाङ्गा	Unk	LOC
लाई	PLAI	O
नाना	Unk	O
र	CC	O
भो	Unk	O
का	PKO	O
लाइ	Unk	O
खाना	NN	O
।	YF	O
खान	NNP	PER
,	YM	O
लाउन	Unk	O
र	CC	O
बस्न	VBI	O
पाउनुु	Unk	O
मानिस	NN	O
को	PKO	O
नैसर्गिक	Unk	O
अधिकार	NN	O
हो	VBX	O
भन्ने	VBNE	O
कुरा	NN	O
मा	POP	O
जोड	NN	O
दिँदै	VBO	O
यस	DUM	O
ले	PLE	O
हरेक	JJ	O
मानिस	NN	O
लाई	PLAI	O
यस	DUM	O
को	PKO	O
परिपूर्ति	Unk	O
गरिनु	VBI	O
पर्ने	VBNE	O
मा	POP	O
जोड	NN	O
दियो	VBF	O
।	YF	O
त्यसैगरी	RBO	O
अर्काे	Unk	O
सिद्धान्त	NN	O
थियो–	Unk	O
प्रजातन्त्रवाद	Unk	O
जस	CS	O
ले	PLE	O
मानिस	NN	O
जन्मँदै	Unk	O
स्वतन्त्र	JJ	O
भएर	VBO	O
जन्मन्छ	Unk	O
त्यही	DUM	O
कारण	NN	O
उस	PP	O
लाई	PLAI	O
सघैँ	Unk	O
स्वतन्त्रता	NN	O
चाहिन्छ	VBF	O
भन्ने	VBNE	O
वकालत	NN	O
ग¥यो	Unk	O
।	YF	O
यिनै	DUM	O
दुई	CD	O
सिद्धान्त	NN	O
का	PKO	O
आधार	NN	O
मा	POP	O
संसार	NN	O
का	PKO	O
सबै	JJ	O
राष्ट्र	NN	O
मा	POP	O
शासनसत्ता	Unk	O
सञ्चालन	NN	O
भए	VBX	O
।	YF	O
यस	DUM	O
पछि	POP	O
फ्रान्स	NNP	LOC
मा	POP	O
निर्वाचन	NN	O
भयो	VBX	O
।	YF	O
निर्वाचन	NN	O
बाट	POP	O
जितेका	VBKO	O
मध्ये	POP	O
बहुमत	JJ	O
प्राप्त	JJ	O
हरू	HRU	O
दायाँ	JJ	O
बेन्च	NN	O
मा	POP	O
बस्ने	VBNE	O
र	CC	O
थोरै	JJ	O
सिट	NN	O
जित्नेहरूचाहिँ	Unk	O
बायाँ	Unk	O
बेन्च	NN	O
मा	POP	O
बस्ने	VBNE	O
चलन	NN	O
चलाइयो	Unk	O
।	YF	O
त्यतिखेर	DUM	O
देखि	POP	O
नै	RP	O
यसरी	RBM	O
बायाँ	Unk	O
बेच्न	Unk	O
मा	POP	O
बस्ने	VBNE	O
लाई	PLAI	O
वामपन्थी	Unk	O
भनिन	Unk	O
थालियो	Unk	O
।	YF	O
यथार्थ	JJ	O
मा	POP	O
प्रजातन्त्रवादी	JJ	O
पनि	RP	O
अल्पमत	NN	O
मा	POP	O
परेका	VBKO	O
बेला	NN	O
विपक्ष	Unk	O
भएर	VBO	O
बायाँ	Unk	O
बेन्च	NN	O
मै	POP	O
बस्नु	Unk	O
पर्छ	VBF	O
।	YF	O
अनि	CC	O
रुस	Unk	LOC
लगायत	POP	O
देश	NN	O
ले	PLE	O
१९	CD	O
औँ	Unk	O
शताब्दी	NN	O
मा	POP	O
आएर	VBO	O
त्यही	DUM	O
वामपन्थ	Unk	O
का	PKO	O
आधार	NN	O
मा	POP	O
साम्यवादी	Unk	O
बनेर	Unk	O
यस्तो	DM	O
सत्ता	NN	O
सञ्चालन	NN	O
गर्न	VBI	O
थालेका	VBKO	O
हुन्	VBX	O
।	YF	O
यस	DUM	O
क्रम	NN	O
मा	POP	O
भियतनाम	Unk	O
,	YM	O
लावस	Unk	O
लगायत	POP	O
का	PKO	O
देश	NN	O
ले	PLE	O
पनि	RP	O
त्यो	DUM	O
सि	NNP	O
को	PKO	O
गरेर	VBO	O
साम्यवादी	Unk	O
